Location,Land_Area,Floor_Area,Number_of_Floors,Number_of_Bedrooms,Number_of_Bathrooms,House_Type,Year_Built,Condition,Parking_Availability,Proximity_to_City_Center,Price
Rural,2279.15,1993.74,2,3,2,Multi-Family,1957,Old,1,57.38,1923850.24
Suburban,4629.8,2316.99,1,4,2,Single-Family,1999,Renovated,1,28.67,3207860.15
Urban,3560.34,3053.69,3,6,3,Single-Family,1980,Renovated,1,3.77,3103698.94
Suburban,2714.19,1694.79,1,3,1,Apartment,1953,Old,1,21.87,2061557.04
Urban,3053.89,1907.45,4,3,2,Apartment,2015,Good,1,0.72,2432994.42
Suburban,3515.86,2078.7,1,4,2,Single-Family,2005,Good,1,16.68,2588060.31
Rural,3175.62,1990.5,2,3,1,Single-Family,1954,Old,1,41.46,2213154.12
Urban,2191.79,1283.06,2,2,1,Single-Family,2003,Renovated,1,8.3,1812351.41
Urban,1654.41,1426.68,4,2,1,Single-Family,1950,Old,1,4.95,1495890.17
Urban,2374.73,2041.34,1,4,3,Apartment,2022,New,1,8.21,2205066.95
Rural,3504.24,1895.39,1,3,1,Multi-Family,2010,Good,1,52.31,2485626.79
Suburban,2229.61,1242.21,1,2,1,Single-Family,1956,Old,0,24.1,1596854.63
Rural,1395.32,1178.78,1,2,2,Single-Family,1979,Renovated,1,47.36,1304201.6
Urban,776.55,512.19,4,1,1,Multi-Family,1964,Old,1,3.69,776410.89
Suburban,2378.97,1350.56,2,2,2,Apartment,1953,Old,0,20.84,1769919.55
Rural,1474.36,1038.34,1,2,2,Multi-Family,2012,Good,1,58.69,1215652.52
Urban,2063.48,1375.65,4,2,2,Apartment,2019,Good,1,0.63,1677757.02
Urban,3956.23,2324.94,3,4,2,Apartment,1987,Renovated,1,4.38,3010462.26
Rural,2446.15,1928.3,2,3,1,Apartment,1996,Renovated,1,44.15,1985542.66
Rural,1749.54,1316.56,1,2,1,Apartment,2009,Good,1,48.01,1480447.13
Rural,2808.75,1516.34,1,3,2,Apartment,1951,Old,0,56.72,1930301.27
Urban,4420.95,3846.91,2,7,3,Single-Family,2018,Good,0,6.97,3617187.6
Rural,2379.3,1721.16,1,3,2,Apartment,1957,Old,1,44.88,1887160.36
Urban,144.47,86.69,4,1,1,Single-Family,2000,Renovated,0,9.55,388794.92
Rural,3150.08,1834.97,1,3,1,Apartment,1968,Old,0,41.94,2149184.65
Urban,2846.43,1578.0,3,3,2,Single-Family,1980,Renovated,1,2.61,2125517.76
Urban,2590.12,1735.0,2,3,1,Multi-Family,1971,Old,0,2.91,2011557.44
Suburban,2280.82,1264.07,2,2,2,Multi-Family,1982,Renovated,0,16.5,1641709.95
Rural,1692.73,1127.91,2,2,1,Single-Family,2021,New,1,57.74,1346225.64
Rural,4014.97,2246.41,1,4,3,Apartment,1986,Renovated,0,34.84,2872867.05
Urban,661.69,504.69,2,1,1,Single-Family,1961,Old,0,5.66,720911.92
Urban,2191.04,1783.72,1,3,2,Single-Family,2018,Good,1,9.31,1967987.12
Urban,2167.66,1560.3,4,3,1,Apartment,2013,Good,1,3.08,1842894.74
Suburban,3353.44,2588.93,1,5,3,Multi-Family,1974,Old,1,20.29,2767216.99
Suburban,3735.66,3270.02,2,6,3,Single-Family,2003,Renovated,0,23.5,3001701.74
Urban,2273.27,1717.11,3,3,2,Multi-Family,1978,Renovated,1,4.92,1896513.54
Rural,2692.97,1738.75,1,3,1,Multi-Family,1962,Old,1,53.09,2003222.79
Rural,2777.99,1888.46,2,3,2,Multi-Family,1975,Renovated,1,52.54,2090830.18
Suburban,3553.33,2999.76,1,5,2,Single-Family,1971,Old,0,15.8,2871759.97
Suburban,3532.73,1951.08,2,3,2,Single-Family,2022,New,0,26.01,2612758.38
Urban,1961.59,1236.38,1,2,2,Apartment,1959,Old,1,9.96,1584144.68
Rural,2937.9,2147.35,1,4,3,Apartment,1997,Renovated,1,38.42,2291571.28
Urban,2883.25,2221.71,2,4,2,Single-Family,1991,Renovated,0,5.1,2367446.16
Suburban,2384.09,1920.15,2,3,2,Apartment,2008,Good,1,24.61,2064560.97
Rural,2873.78,1802.67,1,3,2,Multi-Family,2002,Renovated,1,45.64,2186568.22
Rural,2520.19,1407.13,1,2,2,Multi-Family,1989,Renovated,1,57.86,1883528.96
Suburban,2657.89,2344.09,1,4,2,Single-Family,2011,Good,1,22.45,2303503.72
Urban,1143.99,606.95,4,1,1,Multi-Family,1955,Old,1,3.49,1001121.81
Urban,1582.04,851.65,4,1,1,Single-Family,1953,Old,1,3.38,1343074.27
Rural,3317.76,2315.72,1,4,2,Single-Family,2004,Renovated,1,55.68,2492901.59
Suburban,1289.41,1067.26,2,2,2,Single-Family,2018,Good,1,28.82,1264954.43
Rural,2970.11,2405.2,2,4,3,Multi-Family,1952,Old,1,40.88,2394772.58
Suburban,2418.57,2116.44,2,4,2,Single-Family,1956,Old,1,14.82,2074263.81
Urban,3530.65,1965.3,3,3,1,Single-Family,1961,Old,1,7.05,2586062.8
Suburban,3148.8,2047.64,1,4,3,Apartment,1966,Old,0,15.95,2456252.05
Urban,2046.72,1254.35,2,2,1,Multi-Family,2016,Good,1,3.86,1729920.97
Suburban,2276.75,1922.37,2,3,1,Single-Family,2019,Good,0,27.49,1848675.88
Rural,514.46,357.73,2,1,1,Apartment,1985,Renovated,1,38.83,526358.96
Urban,2369.6,1210.25,3,2,2,Single-Family,1966,Old,0,4.93,1739257.84
Rural,1229.85,963.2,1,1,1,Multi-Family,1950,Old,1,46.17,1007414.05
Rural,2281.29,1495.34,2,2,1,Apartment,2016,Good,1,43.48,1681994.83
Urban,1862.08,1326.66,3,2,2,Apartment,1998,Renovated,0,7.83,1587955.03
Urban,1623.37,1392.06,3,2,1,Single-Family,2000,Renovated,1,9.52,1509886.85
Rural,3687.72,2222.57,2,4,2,Single-Family,2020,New,1,52.68,2742812.95
Rural,1223.79,729.51,2,1,1,Multi-Family,1992,Renovated,1,45.54,952698.62
Rural,1536.93,930.27,2,1,1,Multi-Family,1980,Renovated,1,33.5,1181983.08
Rural,1801.79,1144.57,2,2,1,Single-Family,1973,Old,1,51.24,1274559.31
Urban,2018.88,1096.13,4,2,1,Apartment,1986,Renovated,0,9.9,1621448.97
Urban,1623.22,1264.31,4,2,1,Multi-Family,2014,Good,1,0.59,1391940.15
Rural,2140.85,1248.03,1,2,2,Multi-Family,2012,Good,1,47.46,1646028.28
Suburban,2802.15,2439.15,1,4,2,Apartment,2005,Good,1,28.19,2382420.52
Suburban,3169.86,1858.41,1,3,1,Single-Family,2023,New,1,12.17,2435038.99
Urban,3121.31,1879.83,2,3,2,Multi-Family,1967,Old,1,5.83,2404265.51
Rural,591.8,366.21,1,1,1,Apartment,2014,Good,1,31.36,520878.76
Rural,2880.2,2325.52,2,4,2,Multi-Family,1978,Renovated,0,46.9,2317578.49
Urban,2941.9,1974.14,2,3,2,Apartment,1953,Old,1,9.13,2331453.47
Suburban,1837.6,1521.04,2,3,1,Multi-Family,1961,Old,1,13.01,1567210.99
Suburban,4167.68,3392.25,1,6,3,Single-Family,2005,Good,1,17.94,3413982.93
Suburban,3587.67,3127.72,2,6,3,Apartment,1997,Renovated,1,10.61,3079598.57
Urban,2316.98,1859.7,1,3,1,Multi-Family,1968,Old,1,3.6,1956774.01
Suburban,1904.03,991.55,1,1,1,Multi-Family,1975,Renovated,1,21.37,1472505.93
Urban,4151.44,3466.09,2,6,3,Apartment,1987,Renovated,0,2.56,3434842.66
Urban,2480.99,2171.43,2,4,2,Apartment,1974,Old,0,8.2,2116481.53
Rural,2585.04,2320.01,1,4,3,Single-Family,2005,Good,0,49.01,2139727.62
Suburban,2572.46,1415.13,2,2,2,Apartment,2023,New,1,18.56,1926033.01
Urban,4803.1,3579.8,4,7,4,Multi-Family,1977,Renovated,1,6.5,3867360.52
Suburban,2283.48,1323.92,2,2,1,Single-Family,2010,Good,1,19.97,1739173.9
Suburban,2476.36,1498.21,2,2,2,Apartment,2000,Renovated,0,28.8,1814911.5
Rural,1668.94,1332.2,1,2,2,Multi-Family,1961,Old,1,45.45,1373519.14
Suburban,2110.5,1880.6,2,3,2,Apartment,1957,Old,1,15.33,1885740.02
Rural,1468.61,1083.75,2,2,2,Multi-Family,2007,Good,1,48.4,1298571.23
Urban,1689.27,1419.38,4,2,1,Multi-Family,1972,Old,1,2.56,1376505.9
Suburban,690.05,347.48,2,1,1,Single-Family,1986,Renovated,1,16.61,662127.71
Urban,3381.52,1740.31,4,3,1,Single-Family,1960,Old,1,1.55,2498393.09
Suburban,2656.75,1962.51,2,3,2,Apartment,1966,Old,1,12.18,2159884.15
Urban,2739.11,1795.74,1,3,1,Single-Family,2005,Good,0,2.45,2167819.13
Suburban,2447.56,2094.87,2,4,3,Apartment,2002,Renovated,1,20.36,2197360.58
Suburban,2571.77,1596.54,1,3,1,Single-Family,2016,Good,1,25.14,2065253.71
Suburban,4119.14,2771.44,2,5,2,Single-Family,1951,Old,1,20.37,3121363.52
Suburban,1731.23,1231.19,1,2,2,Apartment,1978,Renovated,1,14.93,1446742.36
Suburban,2778.36,1692.62,1,3,2,Single-Family,2006,Good,1,22.82,2167432.12
Suburban,2772.99,2394.19,1,4,2,Single-Family,1983,Renovated,1,13.1,2382108.6
Suburban,3641.99,2497.73,1,4,2,Single-Family,1951,Old,1,14.6,2800519.76
Suburban,2938.65,1967.9,2,3,1,Single-Family,1980,Renovated,0,20.99,2256037.56
Suburban,2988.92,2510.4,2,5,3,Apartment,1993,Renovated,1,17.8,2600202.22
Urban,1241.73,775.82,2,1,1,Multi-Family,2005,Good,0,3.85,1174546.58
Rural,1691.1,1398.52,2,2,2,Apartment,2003,Renovated,0,53.49,1432364.15
Suburban,1333.11,731.76,2,1,1,Apartment,2002,Renovated,1,17.63,1138372.96
Rural,24.13,13.83,1,1,1,Apartment,2023,New,0,50.03,198815.32
Suburban,2897.2,2550.51,2,5,3,Single-Family,1995,Renovated,0,28.26,2439656.47
Suburban,2238.37,1873.47,1,3,2,Single-Family,2003,Renovated,1,10.8,1948296.68
Urban,2899.07,1899.35,3,3,2,Multi-Family,1980,Renovated,0,3.59,2295553.45
Urban,2535.49,1915.26,3,3,1,Single-Family,1973,Old,0,9.33,2124165.22
Rural,2740.44,2403.88,2,4,2,Multi-Family,1974,Old,0,57.0,2227493.49
Urban,3838.12,2244.32,3,4,3,Multi-Family,1984,Renovated,1,3.9,2958348.32
Urban,2507.3,1312.83,4,2,2,Single-Family,2006,Good,0,8.87,1907010.35
Rural,3168.99,2265.79,1,4,2,Multi-Family,2021,New,1,44.41,2521703.33
Urban,2197.76,1224.24,2,2,1,Apartment,2018,Good,1,4.54,1767479.67
Suburban,3324.79,1911.51,1,3,2,Apartment,1977,Renovated,0,19.92,2403275.41
Rural,1260.36,1079.64,2,2,1,Apartment,1982,Renovated,0,44.66,1107969.73
Rural,662.44,333.18,2,1,1,Multi-Family,2002,Renovated,1,34.47,630903.33
Suburban,4606.66,3808.45,2,7,3,Multi-Family,1965,Old,1,12.91,3636936.78
Urban,4336.3,3064.81,4,6,4,Apartment,1975,Renovated,0,9.62,3320699.04
Rural,554.49,401.29,1,1,1,Single-Family,1961,Old,0,47.29,490814.53
Rural,2463.89,1894.01,2,3,2,Apartment,1980,Renovated,1,38.6,2000581.06
Suburban,2649.92,1782.28,1,3,2,Single-Family,1976,Renovated,1,20.69,2053904.29
Suburban,3222.97,1760.53,1,3,1,Single-Family,1985,Renovated,0,28.8,2339602.79
Urban,4239.21,2293.96,3,4,2,Multi-Family,2008,Good,0,3.29,3091401.14
Rural,1438.59,1153.38,1,2,2,Multi-Family,1952,Old,1,44.19,1106353.68
Urban,1492.32,878.1,1,1,1,Single-Family,1981,Renovated,1,1.31,1282933.35
Urban,2498.83,1277.5,2,2,2,Single-Family,1964,Old,0,9.73,1809204.23
Suburban,1536.42,1370.25,2,2,1,Single-Family,2015,Good,0,15.34,1405241.74
Rural,214.14,191.05,1,1,1,Multi-Family,2012,Good,1,49.01,294678.9
Rural,2272.76,1480.15,2,2,1,Apartment,1950,Old,0,37.76,1694194.63
Rural,3357.54,1713.05,1,3,1,Single-Family,1954,Old,0,49.72,2351499.99
Suburban,2479.53,1961.07,2,3,1,Multi-Family,1955,Old,1,24.4,2004976.44
Suburban,3124.05,2600.47,2,5,2,Apartment,1954,Old,1,19.78,2570825.69
Suburban,2981.01,1639.57,1,3,2,Multi-Family,2022,New,1,15.1,2322278.12
Suburban,1473.01,816.32,2,1,1,Apartment,1977,Renovated,1,25.19,1212112.4
Suburban,2568.02,2128.61,2,4,2,Multi-Family,2018,Good,1,28.52,2179401.67
Rural,974.84,846.9,1,1,1,Apartment,1993,Renovated,0,54.19,917905.44
Urban,1988.09,1622.88,4,3,1,Single-Family,1965,Old,0,3.56,1693571.39
Rural,2550.45,1480.02,1,2,1,Multi-Family,2020,New,0,56.8,1854400.35
Urban,2498.85,1660.76,2,3,2,Apartment,1971,Old,1,3.58,1975771.1
Suburban,1209.07,895.12,1,1,1,Apartment,2022,New,1,22.84,1139648.4
Urban,1411.0,795.97,3,1,1,Apartment,1972,Old,0,3.54,1095621.98
Rural,2790.96,1630.59,1,3,1,Single-Family,1992,Renovated,0,55.07,2074390.48
Rural,3327.39,2040.2,1,4,2,Multi-Family,2017,Good,1,42.79,2451003.0
Urban,2293.03,1613.85,1,3,1,Apartment,1992,Renovated,0,6.9,1900073.77
Suburban,2242.97,1579.77,1,3,1,Single-Family,1975,Renovated,1,22.23,1821398.25
Suburban,3431.28,2833.27,2,5,2,Single-Family,1990,Renovated,1,19.65,2851556.89
Rural,1727.93,1384.42,1,2,1,Single-Family,2019,Good,0,38.37,1435240.7
Urban,4227.03,3658.47,4,7,4,Single-Family,1980,Renovated,0,9.19,3546075.57
Suburban,1154.73,962.08,1,1,1,Single-Family,1966,Old,0,29.04,988261.73
Suburban,3548.5,2134.6,1,4,2,Single-Family,1958,Old,0,16.89,2619158.65
Rural,3039.17,1922.33,2,3,1,Single-Family,2004,Renovated,1,37.48,2324998.55
Suburban,4910.12,3437.92,2,6,3,Multi-Family,1955,Old,0,15.46,3698504.5
Urban,1378.83,697.29,2,1,1,Multi-Family,2019,Good,1,9.35,1117907.17
Rural,165.98,143.0,2,1,1,Single-Family,2013,Good,1,46.68,315066.15
Rural,3749.45,1941.23,1,3,2,Apartment,1953,Old,1,55.11,2617547.46
Urban,1028.67,647.01,4,1,1,Apartment,2016,Good,1,8.08,1051990.35
Rural,3115.78,2267.26,1,4,3,Apartment,2005,Good,0,55.65,2442562.6
Suburban,3682.15,2603.78,2,5,3,Single-Family,1967,Old,0,10.03,2904477.77
Suburban,2879.76,2193.75,2,4,2,Apartment,1981,Renovated,1,27.04,2431098.72
Urban,2732.18,1942.6,2,3,2,Multi-Family,1997,Renovated,0,9.56,2195017.89
Suburban,2900.94,1716.2,1,3,2,Multi-Family,1978,Renovated,0,15.49,2167377.1
Urban,3337.42,1937.14,1,3,1,Multi-Family,1981,Renovated,1,9.4,2585452.36
Urban,3087.07,2663.83,1,5,3,Multi-Family,1974,Old,0,6.43,2618461.52
Suburban,1283.42,777.22,2,1,1,Single-Family,2012,Good,0,28.17,1035653.34
Urban,4325.0,2648.59,3,5,3,Multi-Family,1958,Old,1,6.44,3250502.05
Suburban,2551.11,1696.95,1,3,2,Apartment,2020,New,0,18.79,1994066.74
Rural,3018.34,1677.52,1,3,1,Apartment,1963,Old,0,54.09,2009470.96
Rural,3210.99,2257.03,2,4,3,Multi-Family,1969,Old,0,41.2,2459470.75
Urban,3655.93,2800.49,3,5,2,Multi-Family,1959,Old,1,7.03,2923249.44
Suburban,3552.11,2892.84,1,5,2,Multi-Family,1960,Old,1,29.38,2801418.84
Suburban,2631.74,2064.82,1,4,2,Apartment,1988,Renovated,1,26.95,2225824.67
Rural,2567.47,1435.36,1,2,2,Apartment,1968,Old,0,50.02,1747494.46
Rural,2908.61,1984.91,2,3,2,Multi-Family,1968,Old,0,36.04,2228161.14
Suburban,3600.06,1855.6,2,3,1,Apartment,1992,Renovated,1,14.61,2617817.41
Urban,1387.38,703.57,3,1,1,Apartment,2010,Good,1,0.54,1206828.18
Rural,3144.1,2125.58,2,4,2,Single-Family,2019,Good,1,49.53,2350964.89
Urban,1613.68,970.12,3,1,1,Multi-Family,2021,New,1,9.41,1301785.99
Urban,4351.21,3364.98,2,6,3,Multi-Family,2014,Good,1,4.02,3507002.63
Rural,2867.31,2264.3,1,4,2,Single-Family,1972,Old,0,53.46,2109255.54
Urban,2083.97,1788.38,2,3,2,Single-Family,2009,Good,0,8.13,1737520.88
Urban,2928.72,2355.49,4,4,3,Apartment,1959,Old,1,1.62,2512937.17
Suburban,2509.2,1303.02,2,2,2,Single-Family,2012,Good,0,19.66,1956265.0
Urban,2339.81,1517.72,2,3,1,Multi-Family,1951,Old,1,5.17,1888581.57
Suburban,690.77,420.82,1,1,1,Multi-Family,1985,Renovated,1,29.22,673645.37
Rural,1475.81,965.85,2,1,1,Multi-Family,2006,Good,1,44.65,1155303.36
Rural,2359.55,1330.86,1,2,1,Apartment,2015,Good,0,59.41,1749166.4
Suburban,811.65,437.55,2,1,1,Apartment,1969,Old,1,11.25,644193.76
Rural,1912.82,1355.03,2,2,1,Multi-Family,1991,Renovated,0,49.78,1487589.88
Urban,2000.13,1576.41,1,3,2,Multi-Family,1970,Old,1,3.2,1838418.73
Urban,1720.56,1343.35,3,2,2,Apartment,2015,Good,0,2.83,1540066.21
Urban,3272.35,2226.43,2,4,3,Apartment,1987,Renovated,1,4.16,2612546.04
Rural,1619.83,1148.32,2,2,1,Single-Family,2018,Good,0,33.27,1369437.3
Urban,2588.41,1828.79,2,3,1,Apartment,1973,Old,1,1.45,2197524.62
Rural,2146.84,1667.3,2,3,1,Apartment,1975,Renovated,0,56.15,1770678.91
Urban,2381.2,1236.25,2,2,2,Multi-Family,1951,Old,1,2.24,1821146.41
Suburban,4106.4,3219.25,1,6,3,Multi-Family,1995,Renovated,1,18.65,3346972.85
Rural,2679.69,1963.89,1,3,2,Multi-Family,1983,Renovated,0,30.91,2154609.53
Rural,2873.03,1664.18,2,3,1,Single-Family,2011,Good,1,35.92,2093147.44
Urban,1734.58,901.33,1,1,1,Apartment,1990,Renovated,1,3.68,1356811.8
Rural,3126.15,1698.78,1,3,2,Single-Family,1964,Old,0,38.22,2214736.71
Rural,3083.97,2189.24,1,4,2,Apartment,2004,Renovated,1,58.33,2328762.03
Suburban,2987.61,2400.14,1,4,2,Apartment,1952,Old,0,22.32,2342965.48
Suburban,1290.82,818.2,2,1,1,Multi-Family,1987,Renovated,1,13.35,1071353.34
Urban,1914.75,1247.75,4,2,2,Apartment,2000,Renovated,1,5.5,1576686.91
Suburban,3933.58,3436.61,1,6,3,Single-Family,1966,Old,1,15.49,3211339.68
Urban,1812.26,1060.54,3,2,2,Multi-Family,1998,Renovated,0,1.93,1486129.12
Urban,4069.99,2203.9,4,4,2,Single-Family,1970,Old,0,3.12,2958873.61
Urban,1953.6,1245.15,4,2,1,Single-Family,1973,Old,1,8.16,1527474.86
Rural,2648.22,2114.26,2,4,3,Multi-Family,1989,Renovated,1,43.03,2181355.38
Suburban,2312.83,1735.62,2,3,1,Apartment,1969,Old,1,21.41,1885632.94
Urban,1655.19,1102.88,4,2,2,Single-Family,1984,Renovated,0,9.13,1358277.79
Suburban,1669.59,1479.09,1,2,1,Apartment,1997,Renovated,0,12.35,1463728.18
Urban,1795.76,1425.83,2,2,2,Multi-Family,1982,Renovated,1,9.02,1624602.72
Suburban,2648.06,1389.56,1,2,1,Apartment,2005,Good,1,25.75,1986459.2
Suburban,3390.42,2705.06,1,5,2,Apartment,1990,Renovated,0,19.24,2776647.84
Urban,2583.16,1316.42,1,2,2,Multi-Family,2003,Renovated,1,4.56,2015112.89
Rural,2466.62,1874.95,1,3,1,Apartment,1993,Renovated,0,37.65,1929166.5
Suburban,3710.38,2167.58,1,4,3,Single-Family,2021,New,1,20.72,2760552.41
Rural,2541.34,1978.63,1,3,2,Single-Family,1960,Old,1,38.81,1996137.21
Rural,1957.14,1221.08,1,2,2,Single-Family,1963,Old,1,50.98,1494926.96
Urban,1502.26,1275.72,3,2,2,Apartment,1991,Renovated,1,8.2,1484344.98
Urban,3770.45,2393.35,4,4,3,Single-Family,1961,Old,1,9.52,2783616.35
Urban,2170.6,1623.34,2,3,1,Apartment,1966,Old,1,4.1,1835414.36
Suburban,1921.43,1180.47,1,2,1,Apartment,1974,Old,0,24.92,1460080.56
Urban,1834.96,1590.71,2,3,1,Apartment,1975,Renovated,1,5.18,1690960.6
Urban,3714.19,3017.4,2,6,3,Apartment,1996,Renovated,1,1.12,3038036.09
Suburban,1927.03,1151.06,2,2,1,Multi-Family,1974,Old,0,17.89,1510584.12
Suburban,3490.46,3069.92,2,6,3,Single-Family,2009,Good,1,12.74,2968835.98
Urban,2269.59,1459.04,1,2,1,Single-Family,2009,Good,1,6.74,1845928.58
Urban,1291.62,982.59,1,1,1,Apartment,1976,Renovated,0,5.82,1187536.16
Urban,2167.51,1727.81,4,3,2,Multi-Family,1992,Renovated,1,0.34,1918159.43
Urban,2467.21,1256.21,4,2,2,Apartment,1969,Old,1,0.62,1876442.91
Rural,2384.83,2107.2,1,4,2,Single-Family,2012,Good,0,53.91,1960166.0
Rural,2360.02,1505.17,1,3,2,Single-Family,1974,Old,1,35.27,1778097.63
Urban,2178.06,1254.37,1,2,1,Multi-Family,1976,Renovated,1,1.27,1741040.27
Rural,1714.99,1441.08,2,2,1,Apartment,2001,Renovated,0,44.95,1498430.71
Suburban,2510.74,1961.29,1,3,1,Multi-Family,1959,Old,1,11.27,2053820.89
Rural,3040.95,1625.99,1,3,2,Apartment,1999,Renovated,1,46.92,2218128.81
Rural,1037.4,567.27,2,1,1,Multi-Family,1979,Renovated,1,59.35,867353.63
Urban,3799.06,2986.35,1,5,3,Single-Family,1950,Old,1,4.56,3104350.73
Rural,1196.62,634.1,1,1,1,Multi-Family,2003,Renovated,1,58.78,992637.19
Rural,2575.25,2232.41,1,4,2,Single-Family,1953,Old,1,51.96,2032299.2
Rural,2966.09,2362.83,1,4,2,Single-Family,1956,Old,1,32.28,2376376.27
Rural,1896.65,1202.85,2,2,1,Apartment,1979,Renovated,1,56.68,1511182.63
Suburban,374.17,241.41,2,1,1,Multi-Family,2014,Good,1,15.01,507783.57
Urban,2403.28,1688.54,3,3,2,Multi-Family,1978,Renovated,1,6.94,1915350.24
Urban,2669.7,1720.32,4,3,2,Multi-Family,1974,Old,1,4.04,2138383.19
Suburban,1351.28,1099.11,1,2,2,Multi-Family,1989,Renovated,1,29.97,1228360.58
Rural,1669.87,1486.01,1,2,1,Apartment,1975,Renovated,1,37.61,1440368.39
Suburban,3462.71,2540.97,1,5,2,Apartment,1966,Old,0,13.38,2681220.07
Rural,2617.68,1775.87,1,3,2,Apartment,1980,Renovated,1,48.31,2059678.6
Suburban,991.32,584.0,1,1,1,Single-Family,2010,Good,1,19.04,884233.72
Urban,2949.83,2245.92,4,4,2,Single-Family,1957,Old,0,2.34,2461593.48
Urban,1569.48,1215.14,1,2,2,Single-Family,2018,Good,1,9.65,1457157.52
Urban,1725.24,1335.47,1,2,2,Apartment,1950,Old,0,8.54,1459286.86
Rural,2697.66,1377.95,2,2,1,Single-Family,2020,New,1,43.58,2047010.24
Rural,2604.49,2238.95,1,4,3,Multi-Family,1995,Renovated,0,42.02,2103415.18
Suburban,2097.39,1332.35,2,2,2,Single-Family,1969,Old,0,12.72,1605299.0
Suburban,1995.79,1591.97,2,3,2,Apartment,1989,Renovated,0,21.41,1696262.47
Urban,2249.2,1808.18,4,3,2,Apartment,1951,Old,1,8.55,1863626.51
Rural,1719.41,1307.13,2,2,2,Apartment,2010,Good,0,33.89,1414942.07
Suburban,3589.01,2361.38,1,4,3,Apartment,2020,New,1,17.3,2774575.82
Rural,930.81,691.92,2,1,1,Multi-Family,1979,Renovated,0,50.05,891112.56
Rural,2259.12,1165.89,2,2,2,Single-Family,1979,Renovated,1,49.4,1632575.14
Urban,1040.59,837.42,1,1,1,Single-Family,1994,Renovated,1,9.17,981663.41
Urban,3436.0,1854.87,2,3,1,Apartment,1973,Old,1,4.22,2549744.87
Rural,2257.69,1487.14,2,2,2,Single-Family,2005,Good,0,38.12,1731200.39
Rural,1443.33,781.49,2,1,1,Multi-Family,2010,Good,0,44.53,1119402.75
Rural,3185.05,2658.97,2,5,3,Apartment,1962,Old,1,41.83,2536141.84
Rural,208.07,149.84,2,1,1,Single-Family,2005,Good,1,39.48,385979.15
Urban,2780.88,2159.03,4,4,3,Single-Family,1964,Old,1,4.83,2354153.71
Suburban,3651.29,2822.57,1,5,3,Single-Family,1960,Old,0,14.9,2853527.03
Urban,2679.54,2241.82,2,4,2,Single-Family,1961,Old,1,1.86,2302248.29
Suburban,1993.49,1102.46,2,2,1,Apartment,1952,Old,0,23.24,1512835.38
Rural,1257.82,960.84,1,1,1,Apartment,1973,Old,1,50.43,1056741.48
Suburban,3582.51,2615.42,1,5,2,Multi-Family,1958,Old,1,27.38,2746568.27
Urban,3427.42,1756.07,4,3,1,Apartment,1995,Renovated,1,3.4,2427123.4
Urban,1854.64,1076.75,4,2,1,Single-Family,2020,New,1,7.34,1488601.33
Rural,1881.36,1142.04,1,2,1,Single-Family,2009,Good,0,51.31,1423514.84
Urban,3686.77,1950.38,4,3,1,Single-Family,1960,Old,1,7.78,2703581.51
Rural,3031.61,1945.95,1,3,2,Multi-Family,1959,Old,0,33.42,2089608.99
Urban,713.42,364.47,4,1,1,Apartment,1952,Old,0,9.87,680289.07
Urban,2304.3,1662.03,3,3,2,Apartment,1968,Old,1,8.09,1884661.38
Rural,2267.44,1325.55,1,2,2,Apartment,1951,Old,1,40.94,1615065.17
Suburban,2747.63,1689.25,1,3,2,Single-Family,1966,Old,1,24.95,2061990.65
Urban,2506.05,2165.7,3,4,2,Single-Family,1951,Old,1,9.56,2185753.94
Suburban,1987.29,1393.34,1,2,2,Single-Family,2002,Renovated,0,19.09,1602457.82
Urban,2678.36,1627.39,4,3,1,Multi-Family,1965,Old,0,2.23,1939372.45
Urban,2052.22,1517.38,4,3,2,Multi-Family,1959,Old,1,0.37,1828678.45
Urban,5914.19,3434.18,2,6,4,Single-Family,2017,Good,1,9.67,4389828.39
Urban,2622.73,1389.41,3,2,2,Multi-Family,1992,Renovated,0,8.71,1986429.72
Suburban,2485.3,1263.43,2,2,1,Multi-Family,2007,Good,1,27.7,1762491.61
Suburban,4342.81,3824.33,2,7,4,Multi-Family,2009,Good,1,21.69,3601658.98
Urban,1135.66,896.99,4,1,1,Apartment,1973,Old,1,0.27,1073458.82
Urban,2390.03,1959.78,1,3,1,Multi-Family,1965,Old,1,9.32,2076992.67
Suburban,1550.4,1383.53,1,2,1,Single-Family,1958,Old,1,23.47,1432538.0
Rural,3135.01,2735.77,2,5,3,Apartment,1955,Old,1,43.13,2701788.51
Rural,2005.65,1594.02,1,3,2,Multi-Family,2014,Good,0,56.24,1640428.94
Suburban,3080.09,2395.06,1,4,3,Single-Family,1973,Old,0,19.96,2430918.25
Urban,3008.05,1909.33,1,3,2,Multi-Family,1959,Old,1,8.01,2385336.77
Urban,3280.37,1776.67,3,3,1,Single-Family,2022,New,1,2.56,2442432.33
Rural,3024.52,2206.35,1,4,3,Single-Family,1976,Renovated,1,53.71,2390171.44
Rural,2275.96,1662.59,2,3,1,Multi-Family,1952,Old,1,36.71,1885790.8
Suburban,1102.35,971.05,1,1,1,Multi-Family,1987,Renovated,0,13.41,1000462.13
Rural,3509.08,2375.75,2,4,3,Apartment,2022,New,1,55.47,2667924.18
Suburban,3909.03,3034.67,1,6,4,Multi-Family,2023,New,1,26.3,3127298.92
